IRIS_ID	SUBPOPULATION
CX382	ind1B
CX383	temp
CX384	temp
CX385	ind1B
CX386	indx
CX387	ind1B
CX388	ind1B
CX389	temp
CX390	indx
CX391	temp
CX392	indx
CX393	ind1B
CX394	ind1B
CX395	admix
CX396	temp
CX397	temp
CX399	ind1B
CX4	indx
CX400	admix
CX401	indx
CX402	admix
CX403	ind1B
CX408	ind1B
CX409	ind1B
CX410	ind1B
CX411	ind1B
CX413	ind1B
CX414	ind1B
CX416	ind1B
CX417	ind1B
CX418	ind1B
CX419	ind1B
CX42	indx
CX420	ind1B
CX421	ind1B
CX422	ind1B
CX423	ind1B
CX424	ind1B
CX425	ind1B
CX426	ind1B
CX427	temp
CX428	temp
CX429	temp
CX43	ind1B
CX431	indx
CX44	ind1B
CX45	ind1B
CX46	admix
CX47	temp
CX48	indx
CX49	temp
CX5	indx
CX50	ind1B
CX51	indx
CX52	indx
CX53	indx
CX534	temp
CX54	indx
CX542	indx
CX548	indx
CX55	ind1A
CX56	temp
CX561	ind1B
CX57	temp
CX578	temp
CX579	admix
CX58	temp
CX59	aro
CX6	admix
CX60	ind1B
CX61	ind1A
CX63	aus
CX64	ind3
CX65	aro
CX66	aro
CX67	aro
CX68	indx
CX69	indx
CX70	indx
CX71	ind3
CX72	aro
CX73	ind1B
CX74	temp
CX75	indx
CX76	ind1B
CX77	trop
CX78	temp
CX79	ind1B
CX8	indx
CX80	ind1B
CX82	ind1B
CX83	ind1B
CX84	indx
CX85	indx
CX86	indx
CX87	indx
CX88	ind1A
CX89	indx
CX9	ind1B
CX90	ind1B
CX91	ind1B
CX92	ind1B
CX93	indx
CX94	indx
CX96	ind1B
CX97	ind1B
CX98	ind2
CX99	ind2
IRIS_313-10000	ind1B
IRIS_313-10001	ind1B
IRIS_313-10002	ind1B
IRIS_313-10007	indx
IRIS_313-10010	ind2
IRIS_313-10014	temp
IRIS_313-10016	indx
IRIS_313-10020	aus
IRIS_313-10025	admix
IRIS_313-10026	ind2
IRIS_313-10030	ind2
IRIS_313-10032	aro
IRIS_313-10034	indx
IRIS_313-10035	ind2
IRIS_313-10040	ind1B
IRIS_313-10041	trop
IRIS_313-10045	indx
IRIS_313-10046	ind1B
IRIS_313-10047	ind1A
IRIS_313-10048	indx
IRIS_313-10050	indx
IRIS_313-10051	trop
IRIS_313-10054	indx
IRIS_313-10056	subtrop
IRIS_313-10057	temp
IRIS_313-10059	temp
IRIS_313-10061	japx
IRIS_313-10062	trop
IRIS_313-10065	trop
IRIS_313-10067	trop
IRIS_313-10071	trop
IRIS_313-10073	trop
IRIS_313-10074	trop
IRIS_313-10075	trop
IRIS_313-10076	trop
IRIS_313-10077	indx
IRIS_313-10078	trop
IRIS_313-10079	trop
IRIS_313-10080	trop
IRIS_313-10082	trop
IRIS_313-10083	temp
IRIS_313-10084	temp
IRIS_313-10089	temp
IRIS_313-10092	temp
IRIS_313-10093	temp
IRIS_313-10094	trop
IRIS_313-10096	japx
IRIS_313-10097	temp
IRIS_313-10099	trop
IRIS_313-10102	ind2
IRIS_313-10103	indx
IRIS_313-10109	ind3
IRIS_313-10111	japx
IRIS_313-10113	indx
IRIS_313-10114	ind2
IRIS_313-10119	japx
IRIS_313-10124	temp
IRIS_313-10129	ind1A
IRIS_313-10134	ind3
IRIS_313-10147	ind3
IRIS_313-10148	indx
IRIS_313-10150	aus
IRIS_313-10151	ind3
IRIS_313-10152	trop
IRIS_313-10154	ind1A
IRIS_313-10158	indx
IRIS_313-10161	ind1B
IRIS_313-10164	temp
IRIS_313-10167	indx
IRIS_313-10168	indx
IRIS_313-10170	ind1A
IRIS_313-10171	ind1A
IRIS_313-10176	subtrop
IRIS_313-10177	indx
IRIS_313-10178	ind1A
IRIS_313-10179	indx
IRIS_313-10189	ind1A
IRIS_313-10190	ind1A
IRIS_313-10191	ind1A
IRIS_313-10196	trop
IRIS_313-10211	ind1A
IRIS_313-10220	indx
IRIS_313-10221	indx
IRIS_313-10224	ind1A
IRIS_313-10226	indx
IRIS_313-10228	temp
IRIS_313-10234	ind1B
IRIS_313-10235	indx
IRIS_313-10237	ind1B
IRIS_313-10238	ind1B
IRIS_313-10239	indx
IRIS_313-10242	temp
IRIS_313-10247	ind1B
IRIS_313-10257	indx
IRIS_313-10258	temp
IRIS_313-10260	indx
IRIS_313-10263	indx
IRIS_313-10268	indx
IRIS_313-10271	indx
IRIS_313-10272	japx
IRIS_313-10274	ind1B
IRIS_313-10275	indx
IRIS_313-10279	indx
IRIS_313-10285	indx
IRIS_313-10287	ind1B
IRIS_313-10289	ind1B
IRIS_313-10290	ind1B
IRIS_313-10293	ind1B
IRIS_313-10294	indx
IRIS_313-10295	admix
IRIS_313-10298	ind1B
IRIS_313-10300	indx
IRIS_313-10301	indx
IRIS_313-10307	indx
IRIS_313-10314	indx
IRIS_313-10318	indx
IRIS_313-10325	indx
IRIS_313-10327	trop
IRIS_313-10332	indx
IRIS_313-10333	ind1B
IRIS_313-10334	ind1B
IRIS_313-10336	trop
IRIS_313-10337	indx
IRIS_313-10340	indx
IRIS_313-10341	indx
IRIS_313-10348	indx
IRIS_313-10349	indx
IRIS_313-10352	indx
IRIS_313-10353	indx
IRIS_313-10355	indx
IRIS_313-10357	indx
IRIS_313-10359	indx
IRIS_313-10360	indx
IRIS_313-10361	indx
IRIS_313-10366	indx
IRIS_313-10371	indx
IRIS_313-10373	temp
IRIS_313-10374	indx
IRIS_313-10375	indx
IRIS_313-10379	temp
IRIS_313-10380	aus
IRIS_313-10385	ind1B
IRIS_313-10392	ind1B
IRIS_313-10394	indx
IRIS_313-10396	indx
IRIS_313-10397	ind1B
IRIS_313-10398	ind1B
IRIS_313-10399	indx
IRIS_313-10400	ind1B
IRIS_313-10401	ind1B
IRIS_313-10402	ind1B
IRIS_313-10403	indx
IRIS_313-10404	indx
IRIS_313-10412	indx
IRIS_313-10417	ind1B
IRIS_313-10421	indx
IRIS_313-10422	indx
IRIS_313-10423	indx
IRIS_313-10428	ind3
IRIS_313-10429	temp
IRIS_313-10430	temp
IRIS_313-10433	indx
IRIS_313-10437	temp
IRIS_313-10440	temp
IRIS_313-10441	indx
IRIS_313-10444	trop
IRIS_313-10448	ind3
IRIS_313-10449	ind1A
IRIS_313-10450	ind1A
IRIS_313-10452	ind1A
IRIS_313-10453	japx
IRIS_313-10458	ind1A
IRIS_313-10459	japx
IRIS_313-10469	temp
IRIS_313-10476	ind2
IRIS_313-10477	indx
IRIS_313-10480	indx
IRIS_313-10484	ind1A
IRIS_313-10485	trop
IRIS_313-10489	trop
IRIS_313-10497	ind1A
IRIS_313-10502	ind1A
IRIS_313-10503	ind1A
IRIS_313-10504	ind1A
IRIS_313-10506	ind3
IRIS_313-10507	trop
IRIS_313-10509	ind3
IRIS_313-10510	indx
IRIS_313-10511	ind3
IRIS_313-10513	indx
IRIS_313-10514	indx
IRIS_313-10515	ind1A
IRIS_313-10516	indx
IRIS_313-10517	ind3
IRIS_313-10518	indx
IRIS_313-10519	ind2
IRIS_313-10520	indx
IRIS_313-10521	aro
IRIS_313-10522	admix
IRIS_313-10523	indx
IRIS_313-10524	ind3
IRIS_313-10525	ind3
IRIS_313-10526	ind2
IRIS_313-10527	ind2
IRIS_313-10531	admix
IRIS_313-10534	aus
IRIS_313-10536	ind2
IRIS_313-10537	admix
IRIS_313-10539	ind2
IRIS_313-10541	trop
IRIS_313-10542	ind2
IRIS_313-10543	aus
IRIS_313-10544	ind2
IRIS_313-10545	aus
IRIS_313-10547	indx
IRIS_313-10549	aus
IRIS_313-10550	indx
IRIS_313-10552	trop
IRIS_313-10554	ind3
IRIS_313-10555	ind3
IRIS_313-10556	ind3
IRIS_313-10557	ind3
IRIS_313-10558	temp
IRIS_313-10559	temp
IRIS_313-10560	ind1A
IRIS_313-10561	ind1A
IRIS_313-10562	japx
IRIS_313-10563	temp
IRIS_313-10564	temp
IRIS_313-10565	indx
IRIS_313-10566	indx
IRIS_313-10567	temp
IRIS_313-10568	temp
IRIS_313-10569	temp
IRIS_313-10570	temp
