X.Phenotype.,GRYLD,subpopulation
IC316087,5.96,xx
IC79007-A,6.73,xx
IC443717,5.63,yy
IC78984,4.77,zz
IC443722,5.15,xx
IC11705,7.34,yq
IC208908A,7.16,yq
IC553102A,3.97,yy
IC443750,6.37,yy
IC0531931 ,5.61,xx
IC0290313 ,5.98,zz
IC0290298 ,6.61,yy
IC0252708 ,7.71,zz
IC0111719 ,5.03,xx
IC445374,5.33,zz
IC0252846 ,6.53,yq
IC128283,4.21,zz
IC626067,6.04,xx
IC445400,6.68,yy
IC445407,4.81,zz
IC445413,5.94,xx
IC0296735 ,7.49,xx
IC445439,5.75,yy
IC0546934 ,5.17,zz
IC0546937 ,3.9,xx
IC0549927 ,6.45,yq
IC445494,4.66,yq
IC0549913 ,4.64,yy
IC0296780 ,5.98,yy
IC0616571 ,6.05,xx
IC445527,6.36,zz
IC447520,5.43,yy
IC449058,3.74,zz
EC595315,5.96,xx
EC597831,5.82,zz
IC449061,4.72,yq
EC597850,4.8,zz
EC637484,5.67,xx
EC597806,4.8,yy
IC469463,4.9,zz
EC609597,6.23,xx
EC612501,6.83,xx
EC597836,5.33,yy
IC469480,2.03,zz
EC597813,5.7,xx
EC597856,5.77,yq
EC638315,6.52,yq
IC128388,6.21,yy
IC47017,4,yy
EC790826,3.92,xx
IC47528,5.88,zz
IC47797,4.35,yy
IC524288,7.11,zz
PI 342628,5.77,xx
IWA 8600031,5.78,zz
IWA 8608887,5.78,yq
IC128409,4.63,zz
IC524297,5.39,xx
IC527448,4.46,yy
PBL94.12.20.2,3.87,zz
HGO94.3.65,5.74,xx
HGO94.5.130,7.38,xx
HGO94.6.1.11,5.15,yy
IC529272,5.88,zz
IC529289,3.83,xx
IC0128172 ,5.76,yq
IC0128209 ,6.63,yq
IC128416,5.36,yy
IC529971,2.95,yy
IC0128173 ,6.39,xx
IC0128186 ,5.34,zz
IC0128196 ,2.85,yy
IC0128198 ,5.47,zz
IC0128242 ,5.15,xx
IC0252612 ,6,zz
