X.Phenotype.,SGN,subpopulation
YL_969_YL_969,101,xx
YL_97_YL_97,67,zz
YL_975_YL_975,55,yy
YL_977_YL_977,53.33,zz
YL_978_YL_978,110.67,xx
YL_982_YL_982,96,zz
YL_983_YL_983,59.67,yq
YL_986_YL_986,84.67,zz
YL_988_YL_988,86.33,xx
YL_989_YL_989,86.67,yy
YL_990_YL_990,93.33,zz
YL_991_YL_991,100.33,xx
YL_992_YL_992,129,xx
YL_995_YL_995,122.67,yy
