X.Phenotype.,GRYLD
IC0401928 ,5.85
IC0401936 ,5.67
IC0401942 ,6.02
IC0128155 ,5.27
IC0144920 ,3.28
IC0443766 ,5.61
IC0393877 ,3.32
IC0415058 ,3.82
IC0437081 ,3.52
IC0443723 ,4.21
IC0443726 ,3.81
IC0443727 ,4.05
IC0443731 ,5.93
IC0443747 ,4.64
IC0443756 ,4.64
IC0443762 ,5.14
IC0443950 ,5.5
IC0528119 ,4.9
IC531006,4.86
IC0443719 ,3.98
IC0128199 ,6.26
IC0296301 ,4.07
IC128438,4.68
IC0073211 ,2.25
IC0128229 ,4.4
IC0128243 ,6.38
IC0128244 ,6.06
IC0420925 ,5.7
IC0420926 ,5.65
IC0445595 ,5.6
IC0410028 ,4.98
IC531037,6.81
IC0547563 ,7.03
IC0075428 ,5.98
IC0561180 ,4.45
IC0565811 ,4.25
IC0566545 ,4.9
IC0566546 ,5.76
IC0436072 ,3.68
IC0470825 ,3.64
IC0524293 ,4.98
IC0524294 ,6.53
IC0524301 ,3.8
IC0524303 ,3.81
IC0524307 ,4.74
IC0586642 ,6.82
IC0587019 ,1.58
IC0590886 ,4.65
IC0595426 ,5.76
IC0596504 ,6.64
IC0598226 ,7.21
IC0610815 ,4.94
IC531183,5.39
IC0614819 ,4.72
IC0616288 ,4.87
IC128620,5.96
IC531275,6.61
IC531336,6.55
IC128640,5.99
IC531381,6.02
IC531471,7.22
IC531524,5.93
IC531790,5.42
IC128654,6.2
IC531849,7.13
IC531860,6.51
IC531950,5.15
IC531961,3.57
IC531998,6.02
IC532019,5.5
IC532662,4.01
IC532672,4.14
IC138379,4.9
IC533733,4.98
IC533725,4.41
IC138419,5.68
IC138426,5.32
IC534950,6.88
IC138428,4.09
IC534943,5.78
IC534992,6.91
IC534989,7.1
IC534953,7.62
IC138589,6.25
IC535552,6.64
IC535509,7.36
IC535427,6.8
IC138595,6.48
IC535601,6.82
IC138600,8.73
IC138610,7.26
IC536316,8.33
IC138614,6.5
IC539184,9.09
IC138637,8.56
IC536488,6.5
IC536323,7.88
IC539314,5.86
IC539305,6.41
IC539531,6.2
IC539486,5.89
IC539428,6.15
IC539427,5.46
IC539410,7.08
IC539409,7.41
IC542063,5.01
IC145954,4.85
IC542051,5.32
IC541983,5.28
IC539593,2.12
IC542076,5.38
IC542068,4.55
IC212065,5.74
IC543327,4.6
IC543280,3.93
IC547634,3.9
IC547631,5.39
IC547630,6.29
IC547650,4.17
IC547649,4.74
IC547640,3.25
IC240802,4.17
IC547637,3.89
IC549385,3.52
IC549361,4.91
IC549339,4.99
IC252346,4.49
IC547657,4.72
