"Trial","Genotype ","Replication","TN","RN","ARP","RL","Category"
"2nd Expt","MG332",2,8,245,36.25,895.964,"zz"
"2nd Expt","MG334",2,6,130,37.32,750.655,"zz"
"2nd Expt","MG334",3,6,139,32.67,673.75,"zz"
"2nd Expt","MG334",1,7,170,31.06,923.521,"zz"
"2nd Expt","MG337",2,7,185,26.44,705.788,"zz"
"2nd Expt","MG337",1,7,187,31.39,1066.94,"zz"
"2nd Expt","MG337",3,7,214,35.26,668.034,"zz"
"2nd Expt","MG339",3,7,240,24.8,811.054,"zz"
"2nd Expt","MG339",1,8,221,28.78,583.662,"zz"
"2nd Expt","MG339",2,8,270,25.56,692.623,"zz"
"2nd Expt","MG342",1,6,187,28.34,1153.575,"zz"
"2nd Expt","MG342",3,6,217,29.03,1031.303,"zz"
"2nd Expt","MG342",2,6,227,25.21,1061.093,"zz"
"2nd Expt","MG343",1,9,179,39.33,1069.192,"zz"
"2nd Expt","MG343",2,9,188,39.46,888.217,"zz"
"2nd Expt","MG343",3,9,203,41.73,945.365,"zz"
"2nd Expt","MG347",3,8,184,32.89,949.535,"zz"
"2nd Expt","MG347",1,9,197,35.95,657.379,"zz"
"2nd Expt","MG347",2,10,242,35.01,643.51,"zz"
"2nd Expt","MG348",1,7,168,33.84,1053.708,"zz"
"2nd Expt","MG348",2,7,176,30.86,771.017,"zz"
"2nd Expt","MG348",3,7,193,35.49,1271.661,"zz"
"2nd Expt","MG352",2,6,113,32.19,892.633,"zz"
"2nd Expt","MG352",1,7,151,32.05,961.16,"zz"
"2nd Expt","MG352",3,7,169,33.4,828.728,"zz"
"2nd Expt","MG353",3,10,170,24.57,842.045,"zz"
"2nd Expt","MG353",1,11,173,30.79,552.395,"zz"
"2nd Expt","MG353",2,12,181,30.16,571.807,"zz"
"2nd Expt","MG357",3,5,178,24.93,649.133,"zz"
"2nd Expt","MG357",1,5,186,32.2,789.426,"zz"
"2nd Expt","MG357",2,6,221,25.06,650.405,"zz"
"2nd Expt","MG359",3,10,157,32.85,876.931,"zz"
"2nd Expt","MG359",2,10,179,33.29,885.295,"zz"
"2nd Expt","MG359",1,10,192,25.81,960.348,"zz"
"2nd Expt","MG362",1,9,173,33.01,588.071,"zz"
"2nd Expt","MG362",2,10,180,35.88,744.071,"zz"
"2nd Expt","MG362",3,10,189,29.42,775.04,"zz"
"2nd Expt","MG365",3,5,187,29.89,967.981,"zz"
"2nd Expt","MG365",1,5,205,30.19,708.573,"zz"
"2nd Expt","MG365",2,5,206,33.8,991.117,"zz"
"2nd Expt","MG366",1,4,216,33.22,817.936,"zz"
"2nd Expt","MG366",2,8,209,38.42,718.341,"zz"
"2nd Expt","MG366",3,8,229,35.08,904.116,"zz"
"2nd Expt","MG367",2,6,167,35.39,707.381,"zz"
"2nd Expt","MG367",1,6,174,32.6,727.968,"zz"
"2nd Expt","MG367",3,8,214,31.66,774.698,"zz"
"2nd Expt","MG370",2,7,170,29.81,717.259,"zz"
"2nd Expt","MG370",1,7,186,29.5,600.723,"zz"
"2nd Expt","MG370",3,7,200,30.77,619.026,"zz"
"2nd Expt","MG372",1,7,216,27.06,901.841,"zz"
"2nd Expt","MG372",3,7,221,28.06,896.901,"zz"
"2nd Expt","MG372",2,7,236,28,1037.957,"zz"
"2nd Expt","MG375",1,7,168,26.93,980,"zz"
"2nd Expt","MG375",2,8,177,26.3,876.05,"zz"
"2nd Expt","MG375",3,8,186,32.83,816.392,"zz"
"2nd Expt","MG377",1,9,207,32.96,839.725,"zz"
"2nd Expt","MG377",2,9,216,37.9,684.584,"zz"
"2nd Expt","MG377",3,9,226,36.94,848.892,"zz"
"2nd Expt","MG380",2,6,260,34.37,816.201,"zz"
"2nd Expt","MG380",3,6,283,32.03,710.653,"zz"
"2nd Expt","MG380",1,6,294,30.66,719.49,"zz"
"2nd Expt","MG382",1,7,203,27.78,495.725,"zz"
"2nd Expt","MG382",2,7,207,24.64,933.837,"zz"
"2nd Expt","MG382",3,8,228,21.48,795.4,"zz"
"2nd Expt","MG385",2,8,206,26.82,824.064,"zz"
"2nd Expt","MG385",3,8,218,31.79,941.932,"zz"
"2nd Expt","MG385",1,8,228,28.48,807.519,"zz"
"2nd Expt","MG387",3,5,201,22.6,844.632,"zz"
"2nd Expt","MG387",1,6,237,28.75,934.695,"zz"
"2nd Expt","MG387",2,6,249,23.31,587.131,"zz"
"2nd Expt","MG390",3,7,155,29.37,742.35,"zz"
"2nd Expt","MG390",2,8,183,30.19,922.246,"zz"
"2nd Expt","MG390",1,9,196,32.2,664.73,"zz"
"2nd Expt","MG392",1,10,167,37.54,861.13,"zz"
"2nd Expt","MG392",3,10,180,34.34,829.689,"zz"
"2nd Expt","MG392",2,10,192,35,705.689,"zz"
"2nd Expt","MG395",1,7,147,24.93,1113.549,"zz"
"2nd Expt","MG395",2,7,152,21.91,1060.264,"zz"
"2nd Expt","MG395",3,7,156,24.85,737.332,"zz"
"2nd Expt","MG397",2,8,169,33.76,1252.157,"zz"
"2nd Expt","MG397",3,8,184,30.42,1330.594,"zz"
"2nd Expt","MG397",1,8,197,35.18,615.801,"zz"
"2nd Expt","MG400",3,10,135,37.05,894.957,"zz"
"2nd Expt","MG400",2,10,157,29.84,983.813,"zz"
"2nd Expt","MG400",1,10,159,35.23,1023.14,"zz"
"2nd Expt","MG402",2,8,125,31.93,811.992,"zz"
"2nd Expt","MG402",1,10,136,25.75,881.507,"zz"
"2nd Expt","MG402",3,10,145,31.56,792.013,"zz"
"2nd Expt","MG405",3,7,153,32.18,656.544,"zz"
"2nd Expt","MG405",1,7,159,33.27,837.373,"zz"
"2nd Expt","MG405",2,9,171,34,838.128,"zz"
"2nd Expt","MG407",1,6,157,32.93,795.493,"zz"
"2nd Expt","MG407",2,6,162,31.74,913.709,"zz"
"2nd Expt","MG407",3,6,163,35.25,770.999,"zz"
"2nd Expt","MG410",3,6,106,29.91,946.463,"zz"
"2nd Expt","MG410",1,6,111,34.92,943.155,"zz"
"2nd Expt","MG410",2,6,122,37.61,743.754,"zz"
"2nd Expt","MG412",2,7,257,26.25,838.906,"zz"
"2nd Expt","MG412",1,7,282,24.76,810.984,"zz"
"2nd Expt","MG412",3,7,302,24.07,780.557,"zz"
"2nd Expt","MG415",3,9,178,25.72,844.184,"zz"
"2nd Expt","MG415",1,10,195,25.24,758.956,"zz"
"2nd Expt","MG415",2,11,213,26.54,602.785,"zz"
"2nd Expt","MG417",2,5,203,23.32,839.499,"zz"
"2nd Expt","MG417",3,5,223,22.85,831.62,"zz"
"2nd Expt","MG417",1,6,217,21.43,785.241,"zz"
"2nd Expt","MG420",2,8,229,29.73,962.023,"zz"
"2nd Expt","MG420",3,9,257,29.74,1025.858,"zz"
"2nd Expt","MG420",1,10,258,32.12,1069.223,"zz"
"2nd Expt","MG422",3,7,197,32.19,856.276,"zz"
"2nd Expt","MG422",2,9,235,34.06,784.126,"zz"
"2nd Expt","MG422",1,9,258,33.5,780.079,"zz"
"2nd Expt","MG425",3,7,209,29.83,865.924,"zz"
"2nd Expt","MG425",2,7,217,21.84,726.395,"aa"
"2nd Expt","MG425",1,8,245,24.58,853.149,"aa"
"2nd Expt","MG427",3,7,211,25.41,739.915,"aa"
"2nd Expt","MG427",2,7,227,19.09,693.758,"aa"
"2nd Expt","MG427",1,7,242,27.95,697.985,"aa"
"2nd Expt","MG432",3,8,142,29.17,846.008,"aa"
"2nd Expt","MG432",1,9,135,25.72,884.51,"aa"
"2nd Expt","MG432",2,9,157,26.17,662.589,"aa"
"2nd Expt","MG434",3,7,223,37.87,1013.976,"aa"
"2nd Expt","MG434",1,7,224,31.18,749.407,"aa"
"2nd Expt","MG434",2,7,251,35.14,669.006,"aa"
"2nd Expt","MG437",2,7,225,17.27,569.326,"aa"
"2nd Expt","MG437",1,8,249,23.43,694.084,"aa"
"2nd Expt","MG437",3,9,256,23.52,673.475,"aa"
"2nd Expt","MG439",1,7,275,35.88,789.545,"aa"
"2nd Expt","MG439",2,8,305,38.45,649.219,"aa"
"2nd Expt","MG439",3,8,311,35.74,614.003,"aa"
"2nd Expt","MG443",2,4,104,28.68,821.727,"aa"
"2nd Expt","MG443",3,5,126,28.66,745.251,"aa"
"2nd Expt","MG443",1,5,152,27.86,786.928,"aa"
"2nd Expt","MG444",3,6,138,27.77,909.296,"aa"
"2nd Expt","MG444",1,6,145,32.25,654.082,"aa"
"2nd Expt","MG444",2,6,168,32.98,669.329,"aa"
"2nd Expt","MG446",3,6,170,37.16,626.248,"aa"
"2nd Expt","MG446",1,6,182,37.08,343.421,"aa"
"2nd Expt","MG446",2,6,193,36.85,618.808,"aa"
"2nd Expt","MG450",2,6,116,39.71,722.548,"aa"
"2nd Expt","MG450",3,6,130,34.1,716.18,"aa"
"2nd Expt","MG450",1,6,145,31.52,564.235,"aa"
"2nd Expt","MG451",1,10,141,24.26,754.839,"aa"
"2nd Expt","MG451",2,11,160,25.4,838.922,"aa"
"2nd Expt","MG451",3,11,187,22.48,466.7,"aa"
"2nd Expt","MG455",1,4,173,32.5,689.658,"aa"
"2nd Expt","MG455",2,5,217,32.23,816.274,"aa"
"2nd Expt","MG455",3,5,219,37.09,1068.858,"aa"
"2nd Expt","MG457",2,6,131,35.65,929.019,"aa"
"2nd Expt","MG457",3,7,155,32.84,831.582,"aa"
"2nd Expt","MG457",1,8,156,31.77,709.715,"aa"
"2nd Expt","MG460",1,7,213,32.71,1179.701,"aa"
"2nd Expt","MG460",2,7,222,32.88,1045.678,"aa"
"2nd Expt","MG460",3,8,242,33.46,996.05,"aa"
"2nd Expt","MG461",1,7,227,36.54,839.788,"aa"
"2nd Expt","MG461",2,7,228,33.67,1496.119,"aa"
"2nd Expt","MG461",3,8,209,28.15,1251.991,"aa"
"2nd Expt","MG462",3,10,223,27.74,1139.496,"aa"
"2nd Expt","MG462",1,10,237,26.97,1080.256,"aa"
"2nd Expt","MG462",2,10,253,30.52,976.644,"aa"
"2nd Expt","MG465",1,7,151,33.34,731.466,"aa"
"2nd Expt","MG465",2,9,188,31.88,859.102,"aa"
"2nd Expt","MG465",3,9,189,32.81,719.957,"aa"
"2nd Expt","MG466",2,6,176,25.88,847.672,"aa"
"2nd Expt","MG466",3,6,208,30.18,933.548,"aa"
"2nd Expt","MG466",1,6,216,31.69,947.975,"aa"
"2nd Expt","MG470",1,6,214,31.59,858.566,"aa"
"2nd Expt","MG470",3,6,220,31.3,724.663,"aa"
"2nd Expt","MG470",2,8,249,28.18,731.191,"aa"
"2nd Expt","MG474",3,5,182,29.17,905.19,"aa"
"2nd Expt","MG474",1,5,191,33.88,723.593,"aa"
"2nd Expt","MG474",2,5,208,31.63,725.083,"aa"
"2nd Expt","MG475",2,10,167,38.07,633.709,"aa"
"2nd Expt","MG475",1,11,154,38.83,835.091,"aa"
"2nd Expt","MG475",3,11,183,36.35,765.502,"aa"
"2nd Expt","MG479",3,6,122,33.14,813.127,"aa"
"2nd Expt","MG479",2,6,137,32.26,622.379,"aa"
"2nd Expt","MG479",1,6,146,34.8,738.874,"aa"
"2nd Expt","MG480",2,8,154,30.35,863.221,"aa"
"2nd Expt","MG480",1,9,178,32.45,691.765,"aa"
"2nd Expt","MG480",3,9,185,30.77,1021.511,"aa"
"2nd Expt","MG484",3,7,226,16.09,785.031,"aa"
"2nd Expt","MG484",1,7,240,17.89,858.896,"aa"
"2nd Expt","MG484",2,7,267,22.14,666.233,"aa"
"2nd Expt","MG485",1,8,160,30.05,723.142,"aa"
"2nd Expt","MG485",3,8,173,31.53,803.639,"aa"
"2nd Expt","MG485",2,8,188,33.48,589.771,"aa"
"2nd Expt","MG489",2,8,163,26.85,640.527,"aa"
"2nd Expt","MG489",1,8,189,34.45,620.701,"aa"
"2nd Expt","MG489",3,9,194,32.28,695.621,"aa"
"2nd Expt","MG490",3,8,142,34.12,867.987,"aa"
"2nd Expt","MG490",1,8,147,34.87,967.303,"aa"
"2nd Expt","MG490",2,10,168,35.98,780.875,"aa"
"2nd Expt","MG491",1,6,145,43.44,1037.819,"aa"
"2nd Expt","MG491",2,6,166,35.15,900.623,"aa"
"2nd Expt","MG491",3,6,178,29.96,900.933,"aa"
"2nd Expt","MG494",2,8,131,31.07,672.491,"aa"
"2nd Expt","MG494",1,8,158,29.58,1069.329,"aa"
"2nd Expt","MG494",3,8,182,35.85,834.225,"aa"
"2nd Expt","MG495",2,7,205,40.48,857.01,"aa"
"2nd Expt","MG495",1,8,213,45.2,709.302,"aa"
"2nd Expt","MG495",3,8,227,38.25,664.312,"aa"
"2nd Expt","MG496",3,6,129,42.65,566.98,"aa"
"2nd Expt","MG496",1,6,135,47.08,865.501,"aa"
"2nd Expt","MG496",2,7,147,44.3,709.465,"aa"
"2nd Expt","MG499",3,8,124,34.38,677.235,"aa"
"2nd Expt","MG499",2,9,152,38.2,807.546,"aa"
"2nd Expt","MG499",1,9,160,30.72,820.148,"aa"
"2nd Expt","MG501",2,9,223,36.34,830.065,"aa"
"2nd Expt","MG501",1,10,231,41,775.508,"aa"
"2nd Expt","MG501",3,10,246,35.1,864.087,"aa"
"2nd Expt","MG504",3,9,223,26.4,615.467,"aa"
"2nd Expt","MG504",1,10,192,24.32,617.713,"aa"
"2nd Expt","MG504",2,10,201,26.2,608.324,"aa"
"2nd Expt","MG506",1,8,139,37.22,790.964,"aa"
"2nd Expt","MG506",2,8,160,38.79,1047.687,"aa"
"2nd Expt","MG506",3,8,168,36.14,763.433,"aa"
"2nd Expt","MG509",1,9,181,37.4,861.425,"aa"
"2nd Expt","MG509",2,9,197,42.97,939.604,"aa"
"2nd Expt","MG509",3,9,218,40.64,788.005,"aa"
"2nd Expt","MG511",1,6,120,22.12,949.693,"aa"
"2nd Expt","MG511",3,6,129,28.32,1050.312,"aa"
"2nd Expt","MG511",2,6,148,31.14,1003.53,"aa"
"2nd Expt","MG516",1,6,106,28.2,944.898,"aa"
"2nd Expt","MG516",2,6,113,31.34,973.67,"aa"
"2nd Expt","MG516",3,7,128,30.06,818.161,"aa"
"2nd Expt","MG519",2,6,125,29.53,874.907,"aa"
"2nd Expt","MG519",1,7,149,30.3,683.233,"aa"
"2nd Expt","MG519",3,8,134,25.6,651.602,"aa"
"2nd Expt","MG523",3,6,185,28.23,842.025,"aa"
"2nd Expt","MG523",2,7,164,35.09,902.285,"aa"
"2nd Expt","MG523",1,7,184,33.83,832.148,"aa"
"2nd Expt","MG524",1,7,230,40.35,941.744,"aa"
"2nd Expt","MG524",3,7,242,41.44,992.206,"aa"
"2nd Expt","MG524",2,7,255,42.43,654.746,"aa"
"2nd Expt","MG528",1,5,154,32.94,831.813,"aa"
"2nd Expt","MG528",3,6,158,31.69,904.949,"aa"
"2nd Expt","MG528",2,7,182,34.48,792.302,"aa"
"2nd Expt","MG529",3,8,184,26.52,642.118,"aa"
"2nd Expt","MG529",1,8,195,34.35,589.37,"aa"
"2nd Expt","MG529",2,9,173,30.61,655.881,"aa"
"2nd Expt","MG534",3,8,158,30.5,671.305,"aa"
"2nd Expt","MG534",2,8,159,29.72,764.102,"aa"
"2nd Expt","MG534",1,8,187,33.39,705.814,"aa"
"2nd Expt","MG538",3,5,165,37.4,744.498,"aa"
"2nd Expt","MG538",1,5,168,31.18,655.497,"aa"
"2nd Expt","MG538",2,5,179,35.42,684.606,"aa"
"2nd Expt","MG539",1,8,315,34.3,1010.968,"aa"
"2nd Expt","MG539",2,9,305,37.46,874.854,"aa"
"2nd Expt","MG539",3,9,332,34.96,764.777,"aa"
"2nd Expt","MG542",1,7,159,37.07,798.667,"aa"
"2nd Expt","MG542",2,8,191,39.13,750.301,"aa"
"2nd Expt","MG542",3,8,198,35.36,766.262,"aa"
"2nd Expt","MG544",3,6,114,31.67,923.513,"aa"
"2nd Expt","MG544",1,6,119,31.11,958.04,"aa"
"2nd Expt","MG544",2,8,157,32.57,841.092,"aa"
"2nd Expt","MG545",1,7,209,38.84,792.297,"aa"
"2nd Expt","MG545",3,8,229,42.92,798.304,"aa"
"2nd Expt","MG545",2,9,261,36.25,599.876,"aa"
"2nd Expt","MG546",2,10,154,35.5,941.744,"aa"
"2nd Expt","MG546",1,10,176,29.6,722.446,"aa"
"2nd Expt","MG546",3,11,190,33.76,692.915,"aa"
"2nd Expt","MG547",3,8,240,29.78,1122.17,"aa"
"2nd Expt","MG547",2,10,281,33.06,1040.223,"aa"
"2nd Expt","MG547",1,10,297,33.88,722.39,"aa"
"2nd Expt","MG548",2,7,234,33.67,993.084,"aa"
"2nd Expt","MG548",1,8,242,38.53,1044.113,"aa"
"2nd Expt","MG548",3,8,275,33.83,963.505,"aa"
"2nd Expt","MG549",3,9,174,30.85,782.324,"aa"
"2nd Expt","MG549",2,9,176,32.97,981.324,"aa"
"2nd Expt","MG549",1,9,191,30.75,980.509,"aa"
"2nd Expt","MG550",1,8,208,25.25,738.234,"aa"
"2nd Expt","MG550",3,8,220,26.23,966.648,"aa"
"2nd Expt","MG550",2,8,236,28.75,666.7,"aa"
"2nd Expt","MG551",3,6,256,24.53,1142.463,"aa"
"2nd Expt","MG551",2,6,258,26.26,959.383,"aa"
"2nd Expt","MG551",1,6,281,25.68,1235.79,"aa"
"2nd Expt","MG552",1,7,159,33.1,899.544,"aa"
"2nd Expt","MG552",2,7,198,34.27,679.047,"aa"
"2nd Expt","MG552",3,8,189,35.66,789.981,"aa"
"2nd Expt","MG553",3,9,254,39.6,1053.002,"aa"
"2nd Expt","MG553",2,10,311,36.42,933.474,"aa"
"2nd Expt","MG553",1,10,325,38.34,748.353,"aa"
"2nd Expt","MG554",2,8,191,39.03,695.384,"aa"
"2nd Expt","MG554",3,8,202,40.83,595.574,"aa"
"2nd Expt","MG554",1,8,226,37.2,663.029,"aa"
"2nd Expt","MG555",3,5,121,34.72,1022.481,"aa"
"2nd Expt","MG555",1,8,194,39.23,1159.202,"aa"
"2nd Expt","MG555",2,8,232,40.62,587.609,"aa"
"2nd Expt","MG556",2,8,109,23.26,991.571,"aa"
"2nd Expt","MG556",3,8,127,23.12,779.212,"aa"
"2nd Expt","MG556",1,8,139,23.97,577.612,"aa"
"2nd Expt","MG557",1,9,221,37.76,936.262,"aa"
"2nd Expt","MG557",3,10,165,36.04,624.52,"aa"
"2nd Expt","MG557",2,10,173,43.34,838.61,"aa"
"2nd Expt","MG558",1,7,195,27.79,601.678,"aa"
"2nd Expt","MG558",2,7,243,30.72,540.824,"aa"
"2nd Expt","MG558",3,8,229,27.56,704.346,"aa"
"2nd Expt","MG559",3,7,125,24.15,796.997,"aa"
"2nd Expt","MG559",2,7,125,23.45,726.727,"aa"
"2nd Expt","MG559",1,8,167,20.31,711.231,"aa"
"2nd Expt","MG560",1,8,136,24.21,541.717,"aa"
"2nd Expt","MG560",3,8,144,27.81,713.143,"aa"
"2nd Expt","MG560",2,9,164,27.92,768.809,"aa"
"1st Expt","MG1",1,9,103,37.545,770.476,"aa"
"1st Expt","MG1",2,9,127,38.626,747.365,"aa"
"1st Expt","MG1",3,9,108,35.616,828.71,"aa"
"1st Expt","MG5",1,4,55,34.729,671.473,"aa"
"1st Expt","MG5",2,5,72,31.848,769.01,"aa"
"1st Expt","MG5",3,4,55,33.386,610.394,"aa"
"1st Expt","MG6",1,5,107,26.15,639.245,"aa"
"1st Expt","MG6",3,4,96,23.35,739.071,"aa"
"1st Expt","MG6",2,4,99,26.808,754.672,"aa"
"1st Expt","MG10",3,4,145,31.578,1098.281,"aa"
"1st Expt","MG10",2,3,121,28.256,1075.686,"aa"
"1st Expt","MG10",1,3,107,27.938,1157.089,"aa"
"1st Expt","MG11",2,5,106,34.459,695.851,"aa"
"1st Expt","MG11",3,5,123,32.781,687.427,"aa"
"1st Expt","MG11",1,5,111,35.528,881.69,"aa"
"1st Expt","MG12",3,7,160,18.542,991.191,"aa"
"1st Expt","MG12",1,8,157,16.852,679.779,"aa"
"1st Expt","MG12",2,8,150,19.931,779.616,"aa"
"1st Expt","MG17",2,6,122,25.52,723.797,"aa"
"1st Expt","MG17",3,4,81,27.585,711.682,"aa"
"1st Expt","MG17",1,5,115,24.516,794.125,"aa"
"1st Expt","MG20",2,4,108,32.338,681.966,"aa"
"1st Expt","MG20",1,4,104,33.747,580.716,"aa"
"1st Expt","MG20",3,4,128,33.662,787.536,"aa"
"1st Expt","MG22",3,8,101,34.34,742.604,"aa"
"1st Expt","MG22",1,6,97,37.768,732.667,"aa"
"1st Expt","MG22",2,8,133,32.497,687.171,"aa"
"1st Expt","MG25",1,6,112,34.574,830.891,"aa"
"1st Expt","MG25",3,6,81,33.639,837.618,"aa"
"1st Expt","MG25",2,7,110,36.076,788.484,"aa"
"1st Expt","MG27",1,9,142,30.807,805.5,"aa"
"1st Expt","MG27",2,10,148,25.218,792.918,"aa"
"1st Expt","MG27",3,10,149,29.671,585.772,"aa"
"1st Expt","MG30",3,9,148,29.267,844.794,"aa"
"1st Expt","MG30",1,10,170,23.621,778.288,"aa"
"1st Expt","MG30",2,8,157,22.3,918.881,"aa"
"1st Expt","MG32",1,5,112,26.93,906.652,"aa"
"1st Expt","MG32",3,4,96,25.044,897.169,"aa"
"1st Expt","MG32",2,4,91,29.399,919.883,"aa"
"1st Expt","MG35",2,8,82,26.136,1029.642,"aa"
"1st Expt","MG35",1,9,100,24.511,940.297,"aa"
"1st Expt","MG35",3,8,95,28.724,952.817,"aa"
"1st Expt","MG36",1,8,151,29.935,1014.554,"aa"
"1st Expt","MG36",2,8,142,33.324,706.65,"aa"
"1st Expt","MG36",3,8,157,33.849,681.477,"aa"
"1st Expt","MG37",2,7,121,28.177,804.429,"aa"
"1st Expt","MG37",1,5,110,26.59,656.412,"aa"
"1st Expt","MG37",3,6,100,25.528,668.17,"aa"
"1st Expt","MG42",1,6,129,34.226,1065.131,"aa"
"1st Expt","MG42",2,6,158,32.992,1033.877,"aa"
"1st Expt","MG42",3,7,144,31.254,907.21,"aa"
"1st Expt","MG50",2,5,130,25.634,493.966,"aa"
"1st Expt","MG50",1,6,167,23.831,774.275,"aa"
"1st Expt","MG50",3,5,136,24.518,682.912,"aa"
"1st Expt","MG51",1,7,160,27.223,814.151,"aa"
"1st Expt","MG51",2,5,112,28.624,1086.724,"aa"
"1st Expt","MG51",3,5,122,27.832,1016.477,"aa"
"1st Expt","MG55",2,6,139,33.871,812.615,"aa"
"1st Expt","MG55",1,5,124,28.821,788.534,"aa"
"1st Expt","MG55",3,5,143,30.426,914.757,"aa"
"1st Expt","MG56",3,5,104,37.382,762.885,"aa"
"1st Expt","MG56",1,4,95,38.421,672.127,"aa"
"1st Expt","MG56",2,4,90,41.032,794.619,"aa"
"1st Expt","MG60",2,5,97,30.709,813.596,"aa"
"1st Expt","MG60",1,6,108,30.378,809.068,"aa"
"1st Expt","MG60",3,5,92,27.85,835.289,"aa"
"1st Expt","MG61",2,6,100,26.956,680.775,"aa"
"1st Expt","MG61",1,6,98,25.77,953.114,"aa"
"1st Expt","MG61",3,8,116,27.448,625.749,"aa"
"1st Expt","MG62",2,3,111,27.066,640.005,"aa"
"1st Expt","MG62",1,3,115,27.882,572.005,"aa"
"1st Expt","MG62",3,3,122,29.058,876.042,"aa"
"1st Expt","MG65",2,7,198,32.686,748.236,"aa"
"1st Expt","MG65",3,7,184,31.37,767.188,"aa"
"1st Expt","MG65",1,6,141,35.617,622.129,"aa"
"1st Expt","MG66",1,5,140,33.631,660.382,"aa"
"1st Expt","MG66",2,4,116,30.876,777.179,"aa"
"1st Expt","MG66",3,4,111,34.822,863.393,"aa"
"1st Expt","MG70",1,6,152,32.186,894.913,"aa"
"1st Expt","MG70",3,5,118,31,658.924,"aa"
"1st Expt","MG70",2,5,134,29.334,681.323,"aa"
"1st Expt","MG71",3,6,73,31.985,922.151,"aa"
"1st Expt","MG71",1,5,69,29.869,937.694,"aa"
"1st Expt","MG71",2,5,75,29.995,861.67,"aa"
"1st Expt","MG72",2,4,102,23.161,746.518,"aa"
"1st Expt","MG72",1,3,91,31.115,729.321,"aa"
"1st Expt","MG72",3,3,85,27.159,868.587,"aa"
"1st Expt","MG76",2,5,78,29.559,665.5,"aa"
"1st Expt","MG76",1,4,67,30.948,862.102,"aa"
"1st Expt","MG76",3,6,89,32.737,815.389,"aa"
"1st Expt","MG77",1,4,92,32.322,653.17,"aa"
"1st Expt","MG77",2,5,97,35.877,680.742,"aa"
"1st Expt","MG77",3,5,112,33.859,654.377,"aa"
"1st Expt","MG82",1,8,190,33.655,718.013,"aa"
"1st Expt","MG82",2,9,205,33.586,816.086,"aa"
"1st Expt","MG82",3,8,205,34.587,646.119,"aa"
"1st Expt","MG85",3,7,130,24.226,2054.341,"aa"
"1st Expt","MG85",1,6,97,24.926,1620.058,"aa"
"1st Expt","MG85",2,7,110,20.099,885.029,"aa"
"1st Expt","MG87",3,8,144,32.324,742.246,"aa"
"1st Expt","MG87",2,9,161,30.848,741.909,"aa"
"1st Expt","MG87",1,9,180,35.863,764.999,"aa"
"1st Expt","MG90",1,7,152,24.777,733.465,"aa"
"1st Expt","MG90",3,6,132,22.683,758.566,"aa"
"1st Expt","MG90",2,6,137,26.467,768.93,"aa"
"1st Expt","MG92",3,5,113,27.112,495.515,"aa"
"1st Expt","MG92",2,5,91,27.309,484.09,"aa"
"1st Expt","MG92",1,4,85,29.164,580.26,"aa"
"1st Expt","MG95",2,6,167,31.788,745.016,"aa"
"1st Expt","MG95",3,6,143,33.382,769.951,"aa"
"1st Expt","MG95",1,6,151,32.461,860.281,"aa"
"1st Expt","MG96",3,6,61,34.938,554.954,"aa"
"1st Expt","MG96",2,6,84,29.842,541.116,"aa"
"1st Expt","MG96",1,6,73,34.5,627.161,"aa"
"1st Expt","MG99",2,5,129,31.741,711.842,"aa"
"1st Expt","MG99",1,4,103,29.996,632.11,"aa"
"1st Expt","MG99",3,4,109,32.148,698.283,"aa"
"1st Expt","MG100",1,7,113,29.909,864.096,"aa"
"1st Expt","MG100",3,7,92,32.147,844.27,"aa"
"1st Expt","MG100",2,8,139,28.958,746.092,"aa"
"1st Expt","MG101",1,5,93,31.065,572.055,"kk"
"1st Expt","MG101",3,5,88,29.546,789.038,"kk"
"1st Expt","MG101",2,6,107,32.017,595.622,"kk"
"1st Expt","MG106",1,5,125,23.944,577.327,"kk"
"1st Expt","MG106",2,4,105,22.283,701.972,"kk"
"1st Expt","MG106",3,4,102,24.275,601.941,"kk"
"1st Expt","MG109",3,6,104,19.371,899.582,"kk"
"1st Expt","MG109",1,5,104,21.302,1199.814,"kk"
"1st Expt","MG109",2,5,112,23.216,1036.785,"kk"
"1st Expt","MG110",2,5,86,39.28,925.189,"kk"
"1st Expt","MG110",3,6,104,32.811,843.639,"kk"
"1st Expt","MG110",1,5,78,34.112,1045.883,"kk"
"1st Expt","MG114",3,4,121,31.097,827.82,"kk"
"1st Expt","MG114",1,5,152,30.232,887.773,"kk"
"1st Expt","MG114",2,4,105,34.181,814.547,"kk"
"1st Expt","MG115",2,3,118,34.277,648.657,"kk"
"1st Expt","MG115",1,3,127,32.744,921.222,"kk"
"1st Expt","MG115",3,3,114,35.225,849.69,"kk"
"1st Expt","MG119",2,8,137,29.763,868.142,"kk"
"1st Expt","MG119",1,7,91,35.733,939.758,"kk"
"1st Expt","MG119",3,8,102,32.93,857.058,"kk"
"1st Expt","MG120",1,5,171,23.929,675.657,"kk"
"1st Expt","MG120",3,5,201,26.696,781.302,"kk"
"1st Expt","MG120",2,5,189,24.812,578.871,"kk"
"1st Expt","MG124",1,6,152,32.069,553.075,"kk"
"1st Expt","MG124",3,5,131,37.133,691.197,"kk"
"1st Expt","MG124",2,4,113,32.348,732.217,"kk"
"1st Expt","MG130",3,7,125,30.21,1112.82,"kk"
"1st Expt","MG130",1,7,119,31.118,1189.379,"kk"
"1st Expt","MG130",2,7,124,28.652,1073.124,"kk"
