"Trial","Genotype ","Replication","TN","RN","ARP","RL","Category"
"2nd Expt","MG76",2,6,152,31.34,724.969,"dd"
"2nd Expt","MG77",2,8,178,34.73,638.94,"dd"
"2nd Expt","MG77",3,9,184,34.53,596.917,"dd"
"2nd Expt","MG77",1,9,192,32.24,639.519,"dd"
"2nd Expt","MG82",2,8,210,37.9,668.678,"dd"
"2nd Expt","MG82",1,9,242,35.04,759.18,"dd"
"2nd Expt","MG82",3,9,274,34.9,812.559,"dd"
"2nd Expt","MG85",1,8,233,23.29,526.608,"dd"
"2nd Expt","MG85",3,8,235,26.16,836.547,"dd"
"2nd Expt","MG85",2,9,262,20.97,1347.163,"dd"
"2nd Expt","MG87",1,7,148,34.16,774.04,"dd"
"2nd Expt","MG87",2,7,186,34.52,684.619,"dd"
"2nd Expt","MG87",3,7,199,32.67,886.827,"dd"
"2nd Expt","MG90",3,8,217,26.56,789.953,"dd"
"2nd Expt","MG90",1,9,245,25.32,717.893,"dd"
"2nd Expt","MG90",2,9,266,27.75,660.713,"dd"
"2nd Expt","MG92",3,10,219,31.74,421.92,"dd"
"2nd Expt","MG92",1,10,235,31.42,404.753,"dd"
"2nd Expt","MG92",2,10,252,26.63,617.647,"dd"
"2nd Expt","MG95",2,10,217,31.23,719.223,"dd"
"2nd Expt","MG95",3,10,227,31.49,744.163,"dd"
"2nd Expt","MG95",1,10,254,28.2,834.38,"dd"
"2nd Expt","MG96",1,10,201,35.56,439.35,"dd"
"2nd Expt","MG96",3,11,237,30.76,509.072,"dd"
"2nd Expt","MG96",2,11,251,37,502.546,"dd"
"2nd Expt","MG99",1,7,223,33.96,746.086,"dd"
"2nd Expt","MG99",2,7,240,31.03,745.567,"dd"
"2nd Expt","MG99",3,8,221,30.57,678.976,"dd"
"2nd Expt","MG100",1,9,220,32.96,728.374,"dd"
"2nd Expt","MG100",2,9,271,32.39,739.898,"dd"
"2nd Expt","MG100",3,10,277,29.58,1000.028,"dd"
"2nd Expt","MG101",1,9,217,31.78,682.663,"dd"
"2nd Expt","MG101",2,9,225,31.75,573.349,"dd"
"2nd Expt","MG101",3,9,234,31.04,547.22,"dd"
"2nd Expt","MG106",1,7,197,23.11,584.028,"aa"
